Timestamp,ExecutionType,NumIterations,ImageWidth,ImageHeight,NumAngles,NumDetectors,RelaxationFactor,FinalErrorNorm,ReconstructionTime_ms
2025-10-06 15:34:08,Metal-wo-globalweight-8,100,256,256,90,725,0,0.694143,460.654
2025-10-06 15:34:11,Metal-wo-globalweight-8,500,256,256,90,725,0,0.489701,2264.72
2025-10-06 15:34:16,Metal-wo-globalweight-8,1000,256,256,90,725,0,0.385962,4895.4
2025-10-06 15:34:41,Metal-wo-globalweight-8,5000,256,256,90,725,0,0.213521,23766.9
2025-10-06 15:35:28,Metal-wo-globalweight-8,10000,256,256,90,725,0,0.194057,47404.7
2025-10-06 15:37:08,Metal-wo-globalweight-10,100,256,256,90,725,0,0.670099,513.326
2025-10-06 15:37:12,Metal-wo-globalweight-10,500,256,256,90,725,0,0.456359,2642.21
2025-10-06 15:37:17,Metal-wo-globalweight-10,1000,256,256,90,725,0,0.353691,4851.05
2025-10-06 15:37:41,Metal-wo-globalweight-10,5000,256,256,90,725,0,0.204209,23905.9
2025-10-06 15:38:29,Metal-wo-globalweight-10,10000,256,256,90,725,0,0.192107,47347.1
2025-10-06 15:39:21,Metal-wo-globalweight-20,100,256,256,90,725,0,0.586618,482.423
2025-10-06 15:39:24,Metal-wo-globalweight-20,500,256,256,90,725,0,0.353633,2350.74
2025-10-06 15:39:29,Metal-wo-globalweight-20,1000,256,256,90,725,0,0.267002,5015.72
2025-10-06 15:39:54,Metal-wo-globalweight-20,5000,256,256,90,725,0,0.192106,23672.6
2025-10-06 15:40:43,Metal-wo-globalweight-20,10000,256,256,90,725,0,0.190268,48381.3
2025-10-06 15:51:44,Metal,100,256,256,90,725,8,0.604739,463.338
2025-10-06 15:51:47,Metal,500,256,256,90,725,8,0.370266,2276.26
2025-10-06 15:51:52,Metal,1000,256,256,90,725,8,0.277379,4514.93
2025-10-06 15:52:16,Metal,5000,256,256,90,725,8,0.193385,23378.1
2025-10-06 15:53:04,Metal,10000,256,256,90,725,8,0.190769,47833.3
2025-10-06 15:53:27,Metal,100,256,256,90,725,10,0.575547,476.322
2025-10-06 15:53:30,Metal,500,256,256,90,725,10,0.337758,2551.9
2025-10-06 15:53:35,Metal,1000,256,256,90,725,10,0.254043,4809.26
2025-10-06 15:54:00,Metal,5000,256,256,90,725,10,0.191975,23757.4
2025-10-06 15:54:48,Metal,10000,256,256,90,725,10,0.190539,47329.8
2025-10-06 15:56:20,Metal,100,256,256,90,725,15,0.518746,474.7
2025-10-06 15:56:23,Metal,500,256,256,90,725,15,0.284783,2370.2
2025-10-06 15:56:28,Metal,1000,256,256,90,725,15,0.222303,4656.32
2025-10-06 15:56:53,Metal,5000,256,256,90,725,15,0.19086,24174.2
2025-10-06 15:57:41,Metal,10000,256,256,90,725,15,0.190286,47551.8
2025-10-06 15:58:44,Metal,100,256,256,90,725,20,0.475902,511.249
2025-10-06 15:58:47,Metal,500,256,256,90,725,20,0.253989,2452.05
2025-10-06 15:58:52,Metal,1000,256,256,90,725,20,0.20798,4880.95
2025-10-06 15:59:17,Metal,5000,256,256,90,725,20,0.190538,23919.8
2025-10-06 16:00:03,Metal,10000,256,256,90,725,20,0.190153,45538.6
2025-10-06 16:00:40,Metal,100,256,256,90,725,30,0.413589,508.758
2025-10-06 16:00:43,Metal,500,256,256,90,725,30,0.222263,2585.43
2025-10-06 16:00:49,Metal,1000,256,256,90,725,30,0.196942,4901.64
2025-10-06 16:01:13,Metal,5000,256,256,90,725,30,0.190285,23836
2025-10-06 16:02:01,Metal,10000,256,256,90,725,30,0.189987,47835.2
2025-10-06 16:02:23,Metal,100,256,256,90,725,50,0.33727,508.713
2025-10-06 16:02:26,Metal,500,256,256,90,725,50,0.200792,2592.17
2025-10-06 16:02:31,Metal,1000,256,256,90,725,50,0.191972,4866.3
2025-10-06 16:02:56,Metal,5000,256,256,90,725,50,0.190059,24395.7
2025-10-06 16:03:45,Metal,10000,256,256,90,725,50,0.189791,47795.5
2025-10-06 16:22:11,Metal,100,256,256,90,725,75,0.284308,539.422
2025-10-06 16:22:14,Metal,500,256,256,90,725,75,0.193961,2601.54
2025-10-06 16:22:20,Metal,1000,256,256,90,725,75,0.190859,4975.74
2025-10-06 16:22:44,Metal,5000,256,256,90,725,75,0.189898,24322.6
2025-10-06 16:23:33,Metal,10000,256,256,90,725,75,0.189642,47513.7
2025-10-06 16:24:40,Metal,100,256,256,90,725,75,0.284308,494.395
2025-10-06 16:25:15,Metal,100,256,256,90,725,100,0.25356,560.64
2025-10-06 16:25:18,Metal,500,256,256,90,725,100,0.191968,2501.7
2025-10-06 16:25:23,Metal,1000,256,256,90,725,100,0.190538,4837.65
2025-10-06 16:25:48,Metal,5000,256,256,90,725,100,0.189789,24000.9
2025-10-06 16:26:37,Metal,10000,256,256,90,725,100,0.189538,48297.7
2025-10-06 16:30:44,Metal,100,256,256,90,725,150,0.221944,508.172
2025-10-06 16:30:47,Metal,500,256,256,90,725,150,0.190858,2511.75
2025-10-06 16:30:53,Metal,1000,256,256,90,725,150,0.190285,5337.61
2025-10-06 16:31:18,Metal,5000,256,256,90,725,150,0.189641,23556.2
2025-10-06 16:32:04,Metal,10000,256,256,90,725,150,0.18939,45819.6
2025-10-06 16:34:41,Metal-detspacing2,100,256,256,90,725,0,0.769898,360.962
2025-10-06 16:34:43,Metal-detspacing2,500,256,256,90,725,0,0.61104,1750.03
2025-10-06 16:34:47,Metal-detspacing2,1000,256,256,90,725,0,0.520624,3693.15
2025-10-06 16:35:06,Metal-detspacing2,5000,256,256,90,725,0,0.314918,18543.7
